Música,Artista,Letra,Contagem_Palavras,Frequencia_Palavras
Descer,"Kew, Dj LK da Escócia","(LK da Escócia)
(Vai, malvadão)
Gostosa de mini short (ô)
Hoje é só eu e você (ô, ô)
Top destaca o decote (top destaca o decote)
Viciado em ver ela descer
Descer, ê, descer
Viciado em ver ela descer (descendo)
Descer (descendo), descer (descendo), descer
Viciado em ver ela descer, descer, descer (vai descendo, vai descendo)
Descer, descer (vai descendo, vai descendo, faz o movimento), ô, ô, ô
Descendo e subindo, bandida me encara (uou)
De mini short, tomara que caia (uou) (ahn)
Ela tem um macete gostosin, gostosin
Então joga essa bunda por cima de mim
Desce, que desce, que desce, que desce
Sobe, que sobe, que sobe, que sobe
Joga bem no macetin, que essa noite vai ser sem love
Desce, que desce, que desce, que desce
Sobe, que sobe, que sobe, que sobe
Joga bem no talentin, que essa noite vai ser sem love
Viciado em ver ela descer, descer, descer
Desce, que desce, que desce, que desce
Desce, que desce, que desce, que desce
Desce, que desce, que desce, que desce
Viciado em ver ela descer, descer, descer
Ela bate com a polpa no chão
Ela bate com a polpa no chão
Esse shortinho bem curtinho acabou com meu coração
Tá bom, tá bom, tá bom, tá bom
Gostosa de mini short tá descendo até o chão
Tá bom, tá bom, tá bom, tá bom
Gostosa de mini short tá descendo até o chão
Tá bom, tá bom, tá bom, tá bom
Gostosa de mini short tá descendo até o chão
(LK da Escócia) uou, uou, viciado em ver ela descer (uou)",182,"{'lk': 2, 'escócia': 2, 'vai': 7, 'malvadão': 1, 'gostosa': 4, 'mini': 5, 'short': 5, 'ô': 6, 'hoje': 1, 'top': 2, 'destaca': 2, 'decote': 2, 'viciado': 6, 'ver': 6, 'descer': 19, 'ê': 1, 'descendo': 11, 'faz': 1, 'movimento': 1, 'subindo': 1, 'bandida': 1, 'encara': 1, 'uou': 5, 'tomara': 1, 'caia': 1, 'ahn': 1, 'macete': 1, 'gostosin': 2, 'então': 1, 'joga': 3, 'bunda': 1, 'cima': 1, 'mim': 1, 'desce': 20, 'sobe': 8, 'bem': 3, 'macetin': 1, 'noite': 2, 'love': 2, 'talentin': 1, 'bate': 2, 'polpa': 2, 'chão': 5, 'shortinho': 1, 'curtinho': 1, 'acabou': 1, 'coração': 1, 'tá': 15, 'bom': 12}"
Resenha do Arrocha,"J. Eskine, Alef Donk","Erro ao buscar letra: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("".lyric"") to be visible
",0,{}
Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe, MC Tuto","Ô, garota, eu quero você só pra mim (pra mim)
Botou a bunda com o dinheiro do Tigrin' (no complexo)
Vem pro Rio que tu sabe que sou cria (no complexo)
Vem mostrando esse bundão de academia (no complexo)
Ô, garota, eu quero você só pra mim (pra mim)
Botou a bunda com o dinheiro do Tigrin' (no complexo)
Vem pro Rio que tu sabe que sou cria
Vem mostrando esse bundão de academia
A safadinha quer sentar, quer sentar, quer-quer sentar
Só pra tropa, tropa, tropa, tropa, tropa do Oruam
Tropa do vinte e dois, vinte e dois
Nós te colocando e te botando até de manhã
Vai, de manhã, vai, depois rala
Que eu vou te botar, você já sabe, já sabe
Não vou perdoar ver você sensualizando
E eu vou te pagar alto, o Tigrin' não tá lucrando
E a gata assim no palco, deixe lá no palco
Nós é do bonde que só maceta
E tu é do bonde que a fuga é certa
Bebê, só fica comigo aqui até de manhã
Que nós é do bonde que só maceta
E tu é do bonde que a fuga é certa
Mas sentando desse jeito, eu virei teu fã
Ô, garota, eu quero você só pra mim
Botou a bunda com o dinheiro do Tigrin' (no complexo)
Vem pro Rio que tu sabe que sou cria
Vem mostrando esse bundão de academia
A safadinha quer sentar, quer sentar, quer-quer sentar
Só pra tropa, tropa, tropa, tropa, tropa do Oruam
Tropa do vinte e dois, vinte e dois
Nós te colocando e te botando até de manhã
Vai, de manhã, vai, depois rala
Que eu vou te botar, você já sabe, já sabe
Não vou perdoar ver você sensualizando
E eu vou te pagar alto, o Tigrin' não tá lucrando
E a gata assim no palco, deixe lá no palco
Nós é do bonde que só maceta
E tu é do bonde que a fuga é certa
Bebê, só fica comigo aqui até de manhã
Que nós é do bonde que só maceta
E tu é do bonde que a fuga é certa
Mas sentando desse jeito, eu virei teu fã
Ô, garota, eu quero você só pra mim
Botou a bunda com o dinheiro do Tigrin' (no complexo)
Vem pro Rio que tu sabe que sou cria
Vem mostrando esse bundão de academia
A safadinha quer sentar, quer sentar, quer-quer sentar
Só pra tropa, tropa, tropa, tropa, tropa do Oruam
Tropa do vinte e dois, vinte e dois
Nós te colocando e te botando até de manhã",233,"{'ô': 4, 'garota': 4, 'quero': 4, 'pra': 9, 'mim': 6, 'botou': 4, 'bunda': 4, 'dinheiro': 4, 'tigrin': 6, 'complexo': 6, 'vem': 8, 'pro': 4, 'rio': 4, 'sabe': 8, 'cria': 4, 'mostrando': 4, 'bundão': 4, 'academia': 4, 'safadinha': 3, 'quer': 6, 'sentar': 9, 'tropa': 18, 'oruam': 3, 'vinte': 6, 'dois': 6, 'colocando': 3, 'botando': 3, 'manhã': 7, 'vai': 4, 'rala': 2, 'vou': 6, 'botar': 2, 'perdoar': 2, 'ver': 2, 'sensualizando': 2, 'pagar': 2, 'alto': 2, 'tá': 2, 'lucrando': 2, 'gata': 2, 'assim': 2, 'palco': 4, 'deixe': 2, 'lá': 2, 'bonde': 8, 'maceta': 4, 'fuga': 4, 'certa': 4, 'bebê': 2, 'fica': 2, 'comigo': 2, 'aqui': 2, 'sentando': 2, 'desse': 2, 'jeito': 2, 'virei': 2, 'fã': 2}"
Sei Que Tu Me Odeia,"Anitta, Mc Danny, HITMAKER","Oi, sumido
Fiquei sabendo que cê tá perguntando de mim por aí, né
Cê fica pagando de desapegado
Mas cê não esquece as coisas que eu faço, né? Haha
MC Danny, hein
Cenas sensuais ficaram na sua mente
Eu, eu cavalona de costa, eu, eu gostosa de frente
Cenas sensuais ficaram na sua mente
Eu cavalona de costa, eu, eu gostosa de frente
Eu sei que tu me odeia, mas tenho a sentada que tu gosta (ai, ai, ai, ai)
Eu tenho mil problemas, mas nenhum deles é não ser gostosa (ai, ai, ai, ai)
Eu sei que tu me odeia, mas tenho a sentada que tu gosta (ai, ai, ai, ai)
Eu tenho mil problemas, mas nenhum deles é não ser gostosa
Po-pode me xingar, pode, pode me xingar
Cê, cê, cê pode sumir, mas amanhã tu vai voltar
Pode me xingar, pode, pode me xingar
Cê pode sumir, mas amanhã tu vai voltar
Haha, que delícia
Vai
Gostoso
Haha (HITMAKER)
Cena, cenas sensuais ficaram na sua mente
Eu cavalona de costa, eu gostosa de frente
Cena, cenas sensuais ficaram na sua mente
Eu cavalona de costa, eu gostosa de frente
Eu sei que tu me odeia, mas tenho a sentada que tu gosta (ai, ai, ai, ai)
Eu tenho mil problemas, mas nenhum deles é não ser gostosa (ai, ai, ai, ai)
Eu sei que tu me odeia, mas tenho a sentada que tu gosta (ai, ai, ai, ai)
Eu tenho mil problemas, mas nenhum deles é não ser gostosa
Po-pode me xingar, pode, pode me xingar
Cê, cê, cê pode sumir, mas amanhã tu vai voltar
Pode me xingar, pode, pode me xingar
Cê pode sumir, mas amanhã tu vai voltar
MC Danny, hein (ai)
Não confunda, hein
(HITMAKER)",172,"{'oi': 1, 'sumido': 1, 'fiquei': 1, 'sabendo': 1, 'cê': 11, 'tá': 1, 'perguntando': 1, 'mim': 1, 'aí': 1, 'né': 2, 'fica': 1, 'pagando': 1, 'desapegado': 1, 'esquece': 1, 'coisas': 1, 'faço': 1, 'haha': 3, 'mc': 2, 'danny': 2, 'hein': 3, 'cenas': 4, 'sensuais': 4, 'ficaram': 4, 'mente': 4, 'cavalona': 4, 'costa': 4, 'gostosa': 8, 'frente': 4, 'sei': 4, 'odeia': 4, 'sentada': 4, 'gosta': 4, 'ai': 25, 'mil': 4, 'problemas': 4, 'nenhum': 4, 'xingar': 8, 'pode': 14, 'sumir': 4, 'amanhã': 4, 'vai': 5, 'voltar': 4, 'delícia': 1, 'gostoso': 1, 'hitmaker': 2, 'cena': 2, 'confunda': 1}"
MOTINHA 2.0 (Mete Marcha),"DENNIS, Luísa Sonza","She calls me up and asks me to come over
When I find her softly crying she looks up and says
""I don't know what to do, I feel so sad""
""How can I love him when he treats me bad?""
And this is what I told her:
""You will always be unhappy, if you don't wake up from
this fantasy""
[Chorus]
She got caught up in cliché
Can't figure out just how to play
It's a game of lovin', the give and take
Hold on tight and then you take a break
Don't get caught up in cliché, again
It's a classic thing where somehow she just falls for
This shallow mystery guy who knows just how to
hypnotize
Here we go again, stand your ground
Please my friend ignore his sound
But this is how I know her
So if you want to be
You better face reality
[Chorus]
She got caught up in cliché
Can't figure out just how to play
It's a game of lovin', the give and take
Hold on tight and then you take a break
Don't get caught up in cliché
So if you want to be, be happy
You better face reality
But you...
[Chorus]
She got caught up in cliché
Can't figure out just how to play
It's a game of lovin', the give and take
Hold on tight and then you take a break
Don't get caught up in cliché
She got caught up in cliché
Can't figure out just how to play
It's a game of lovin', the give and take
Hold on tight and then you take a break
Don't get caught up in cliché",257,"{'she': 7, 'calls': 1, 'up': 11, 'and': 11, 'asks': 1, 'to': 9, 'come': 1, 'over': 1, 'when': 2, 'i': 6, 'find': 1, 'her': 3, 'softly': 1, 'crying': 1, 'looks': 1, 'says': 1, 'know': 2, 'what': 2, 'feel': 1, 'so': 3, 'sad': 1, 'how': 7, 'can': 1, 'love': 1, 'him': 1, 'he': 1, 'treats': 1, 'bad': 1, 'this': 4, 'is': 2, 'told': 1, 'you': 11, 'will': 1, 'always': 1, 'be': 4, 'unhappy': 1, 'if': 3, 'wake': 1, 'from': 1, 'fantasy': 1, 'chorus': 3, 'got': 4, 'caught': 8, 'in': 8, 'cliché': 8, 'ca': 4, 'figure': 4, 'out': 4, 'just': 6, 'play': 4, 'it': 5, 'game': 4, 'of': 4, 'lovin': 4, 'the': 4, 'give': 4, 'take': 8, 'hold': 4, 'on': 4, 'tight': 4, 'then': 4, 'break': 4, 'get': 4, 'again': 2, 'classic': 1, 'thing': 1, 'where': 1, 'somehow': 1, 'falls': 1, 'shallow': 1, 'mystery': 1, 'guy': 1, 'who': 1, 'knows': 1, 'hypnotize': 1, 'here': 1, 'we': 1, 'go': 1, 'stand': 1, 'your': 1, 'ground': 1, 'please': 1, 'my': 1, 'friend': 1, 'ignore': 1, 'his': 1, 'sound': 1, 'but': 2, 'want': 2, 'better': 2, 'face': 2, 'reality': 2, 'happy': 1}"
Nossas Fotos,"Felipe Amorim, Zé Felipe","(Yeah, yeah, yeah, yeah) (Felipe Amorim e o Zé Felipe)
De pouquinho em pouquinho, eu vou te superando
Apaguei seu contato pra não ter o risco de acabar ligando
Eu parei de seguir, bloqueei do WhatsApp
É que de vez em quando me dá uma vontade de mandar mensagem
Fiz um limpa na minha galeria, apaguei o que tinha do nosso passado
Só não apaguei (só não apaguei)
Dos apagados (dos apagados)
Olhando nossas fotos, deu saudade sua
Nós dois dentro do carro, na praia, na rua
Vou bater na sua porta, perdi a postura
Não dá mais pra ficar com a vida sem a sua
Olhando nossas fotos, deu saudade sua
Nós dois dentro do carro, na praia, na rua
Vou bater na sua porta, perdi a postura
Não dá mais pra ficar com a vida sem a sua
Ah, ah, pra que que eu fui pra galeria?
Ai, ai, ai, ai, ai (Felipe Amorim e Zé Felipe)
(É pra tocar no paredão-dão-dão-dão)
De pouquinho em pouquinho, eu vou te superando
Apaguei seu contato pra não ter o risco de acabar ligando
Eu parei de seguir, bloqueei do WhatsApp
É que de vez em quando me dá uma vontade de mandar mensagem
Fiz um limpa na minha galeria, apaguei o que tinha do nosso passado
Só não apaguei
Dos apagados
Olhando nossas fotos, deu saudade sua
Nós dois dentro do carro, na praia, na rua
Vou bater na sua porta, eu perdi a postura
Não dá mais pra ficar com a vida sem a sua
Olhando nossas fotos, deu saudade sua
Nós dois dentro do carro, na praia, na rua
Vou bater na sua porta, perdi a postura
Não dá mais pra ficar com a vida sem a sua",152,"{'yeah': 4, 'felipe': 4, 'amorim': 2, 'zé': 2, 'pouquinho': 4, 'vou': 6, 'superando': 2, 'apaguei': 7, 'contato': 2, 'pra': 9, 'ter': 2, 'risco': 2, 'acabar': 2, 'ligando': 2, 'parei': 2, 'seguir': 2, 'bloqueei': 2, 'whatsapp': 2, 'vez': 2, 'dá': 6, 'vontade': 2, 'mandar': 2, 'mensagem': 2, 'fiz': 2, 'limpa': 2, 'galeria': 3, 'passado': 2, 'apagados': 3, 'olhando': 4, 'fotos': 4, 'deu': 4, 'saudade': 4, 'dois': 4, 'dentro': 4, 'carro': 4, 'praia': 4, 'rua': 4, 'bater': 4, 'porta': 4, 'perdi': 4, 'postura': 4, 'ficar': 4, 'vida': 4, 'ah': 2, 'ai': 5, 'tocar': 1}"
Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,"Eu tentei ficar com você
Eu lutei, insisti, persisti, mas você só brincou
Sempre me levou na brincadeira e preferiu a vida de solteira
Vida de balada, vida de revoada
Agora vem se arrepender
Se você me amava, por que me machucou?
Se me amava, cê foi me trair por quê?
Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo
Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo
Eu tentei ficar com você
Eu lutei, insisti, persisti, mas você só brincou
Sempre me levou na brincadeira e preferiu a vida de solteira
Vida de balada, vida de revoada
Agora vem se arrepender
Se você me amava, por que me machucou?
Se me amava, cê foi me trair por quê?
Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo
Eu não vou negar que ainda te amo
Mas você merece o meu abandono
O que eu mais queria era ficar contigo
Mas você deixou meu coração partido
E agora nem pintada de ouro eu te quero
Eu não vou sentir pena de te ver sofrendo
Cê vai sentir a dor que eu tô sentido
E vai se arrepender de vacilar comigo
(Tiritas pa' este corazón partío')
(Tiritas pa' este corazón partío')
Ay mi corazón",185,"{'tentei': 2, 'ficar': 6, 'lutei': 2, 'insisti': 2, 'persisti': 2, 'brincou': 2, 'sempre': 2, 'levou': 2, 'brincadeira': 2, 'preferiu': 2, 'vida': 6, 'solteira': 2, 'balada': 2, 'revoada': 2, 'agora': 6, 'vem': 2, 'arrepender': 6, 'amava': 4, 'machucou': 2, 'cê': 6, 'trair': 2, 'quê': 2, 'vou': 8, 'negar': 4, 'ainda': 4, 'amo': 4, 'merece': 4, 'abandono': 4, 'queria': 4, 'contigo': 4, 'deixou': 4, 'coração': 4, 'partido': 4, 'pintada': 4, 'ouro': 4, 'quero': 4, 'sentir': 8, 'pena': 4, 'ver': 4, 'sofrendo': 4, 'vai': 8, 'dor': 4, 'tô': 4, 'sentido': 4, 'vacilar': 4, 'comigo': 4, 'tiritas': 2, 'pa': 2, 'corazón': 3, 'partío': 2, 'ay': 1, 'mi': 1}"
Resenha de Ex-Love,"J. Eskine, Alef Donk","Erro ao buscar letra: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("".lyric"") to be visible
",0,{}
Cópia Proibida,Léo Foguete,"Eu só vejo qualidade onde tu vê defeitos
Por que tanta insegurança quando se olha no espelho?
Tu sabe que tudo que Deus faz é perfeito
Talvez não te amaria se não fosse desse jeito
Pra um bom piloto, as curvas pouco importa
Do fio de cabelo à ponta do pé, essa é minha rota
Reparo nos detalhes que ninguém mais nota
Extensão de cílios, sobrancelha feita e o brinco que tu gosta
Se cortar dois dedos do cabelo, eu noto na hora, ah
Ô linda, fizeram você e jogaram a forma fora
É tanta beleza que Deus proibiu ter cópia
É tanta beleza que Deus proibiu ter cópia, ah
Ô linda, fizeram você e jogaram a forma fora
É tanta beleza que Deus proibiu ter cópia
É tanta beleza que Deus proibiu ter cópia, ah
Pra um bom piloto, as curvas pouco importa
Do fio de cabelo à ponta do pé, essa é minha rota
Reparo nos detalhes que ninguém mais nota
Extensão de cílios, sobrancelha feita e o brinco que tu gosta
Se cortar dois dedos do cabelo, eu noto na hora, ah
Ô linda, fizeram você e jogaram a forma fora
É tanta beleza que Deus proibiu ter cópia
É tanta beleza que Deus proibiu ter cópia, ah
Ô linda, fizeram você e jogaram a forma fora
É tanta beleza que Deus proibiu ter cópia
É tanta beleza que Deus proibiu ter cópia, ah",146,"{'vejo': 1, 'qualidade': 1, 'onde': 1, 'vê': 1, 'defeitos': 1, 'tanta': 9, 'insegurança': 1, 'olha': 1, 'espelho': 1, 'sabe': 1, 'tudo': 1, 'deus': 9, 'faz': 1, 'perfeito': 1, 'talvez': 1, 'amaria': 1, 'desse': 1, 'jeito': 1, 'pra': 2, 'bom': 2, 'piloto': 2, 'curvas': 2, 'pouco': 2, 'importa': 2, 'fio': 2, 'cabelo': 4, 'ponta': 2, 'pé': 2, 'rota': 2, 'reparo': 2, 'detalhes': 2, 'ninguém': 2, 'nota': 2, 'extensão': 2, 'cílios': 2, 'sobrancelha': 2, 'feita': 2, 'brinco': 2, 'gosta': 2, 'cortar': 2, 'dois': 2, 'dedos': 2, 'noto': 2, 'hora': 2, 'ah': 6, 'ô': 4, 'linda': 4, 'fizeram': 4, 'jogaram': 4, 'forma': 4, 'beleza': 8, 'proibiu': 8, 'ter': 8, 'cópia': 8}"
Do Job,"MC Tuto, Grelo","Aê, Tuto, se liga
Cê acredita que ela nunca mais me cobrou?
É memo?
2T
É o Grelo
É o Grelo
Tava de bobeira no pião
Ela encostou, me chamou de lindo
Eu falei: Bebê, linda é você
E o resto você já deve saber
O que rolou
Logo eu descobri que ela era do job
Mas pensa numa mina que é boa demais
Eu falei: Bebê, me trata de um jeito especial
Que eu trato você como a princesa que você é
E nunca mais ela me cobrou, só vem pelo love
Nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração das do job
E nunca mais ela me cobrou, só vem pelo love
E nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração da do job
É o Grelo
Tava de bobeira no pião
Ela encostou, me chamou de lindo
Eu falei: Bebê, linda é você
Aí o resto você deve saber
O que rolou
Logo eu percebi que ela era do job
Mas pensa numa mina que é boa demais
Eu falei: Bebê, me trata de um jeito especial
Que eu trato você como a princesa que você é
E nunca mais ela me cobrou, só vem pelo love
Nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração das do job
E nunca mais ela me cobrou, só vem pelo love
Nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração das do job
Tava de bobeira no pião
Ela encostou, me chamou de lindo
Eu falei: Bebê, linda é você
E o resto você já deve saber
O que rolou
Logo eu descobri que ela era do job
Mas pensa numa mina que é boa demais
Eu falei: Bebê, me trata de um jeito especial
Que eu trato você como a princesa que você é
E nunca mais ela me cobrou, só vem pelo love
Nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração das do job
E nunca mais ela me cobrou, só vem pelo love
E nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração da do job
E nunca mais ela me cobrou, só vem pelo love
Nunca mais ela trabalhou, agora é pelo esporte
Como é que pode? Como é que pode?
Conseguir ganhar o coração da do job
E nunca mais ela me cobrou, ai, ai
É o Grelo e o Tuto
É o Grelo, é o Tuto, ai, ai, vem que vem",204,"{'aê': 1, 'tuto': 3, 'liga': 1, 'cê': 1, 'acredita': 1, 'nunca': 16, 'cobrou': 9, 'memo': 1, '2t': 1, 'grelo': 5, 'tava': 3, 'bobeira': 3, 'pião': 3, 'encostou': 3, 'chamou': 3, 'lindo': 3, 'falei': 6, 'bebê': 6, 'linda': 3, 'resto': 3, 'deve': 3, 'saber': 3, 'rolou': 3, 'logo': 3, 'descobri': 2, 'job': 10, 'pensa': 3, 'mina': 3, 'boa': 3, 'demais': 3, 'trata': 3, 'jeito': 3, 'especial': 3, 'trato': 3, 'princesa': 3, 'vem': 9, 'love': 7, 'trabalhou': 7, 'agora': 7, 'esporte': 7, 'pode': 14, 'conseguir': 7, 'ganhar': 7, 'coração': 7, 'aí': 1, 'percebi': 1, 'ai': 4}"
